model,geometry_index,band,threshold,n_nodes,mae,rmse,bias
MATCH_250K,1197,all,all,679,0.017570825293660164,0.045177146792411804,-0.00395932886749506
MATCH_250K,1197,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,1197,log_life_lt_3,3.0,4,0.06395715475082397,0.06914939731359482,-0.04341930150985718
MATCH_250K,1197,log_life_lt_4,4.0,13,0.08605735003948212,0.0998128354549408,0.007832655683159828
MATCH_250K,1197,log_life_lt_5,5.0,85,0.03283463418483734,0.07308515906333923,-0.0071147833950817585
MATCH_250K,1197,log_life_lt_6,6.0,255,0.021743306890130043,0.05589618161320686,0.0002134276437573135
MATCH_250K,4253,all,all,679,0.01988486759364605,0.058567892760038376,0.00016413556295447052
MATCH_250K,4253,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,4253,log_life_lt_3,3.0,3,0.2782791554927826,0.29218655824661255,-0.2782791554927826
MATCH_250K,4253,log_life_lt_4,4.0,5,0.2822997570037842,0.29065069556236267,-0.2822997570037842
MATCH_250K,4253,log_life_lt_5,5.0,38,0.08298816531896591,0.1350162774324417,-0.004664728417992592
MATCH_250K,4253,log_life_lt_6,6.0,227,0.031627457588911057,0.09077590703964233,0.004782631527632475
MATCH_250K,4058,all,all,679,0.024334004148840904,0.05740492418408394,-0.012106605805456638
MATCH_250K,4058,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,4058,log_life_lt_3,3.0,5,0.2444257289171219,0.33242395520210266,0.02782435342669487
MATCH_250K,4058,log_life_lt_4,4.0,6,0.22138051688671112,0.3065390884876251,0.04087936878204346
MATCH_250K,4058,log_life_lt_5,5.0,67,0.05004044622182846,0.11910340189933777,-0.015047026798129082
MATCH_250K,4058,log_life_lt_6,6.0,243,0.029612276703119278,0.0783039852976799,-0.010364104062318802
MATCH_250K,1293,all,all,679,0.016218576580286026,0.040477454662323,-0.0036407187581062317
MATCH_250K,1293,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,1293,log_life_lt_3,3.0,3,0.14532804489135742,0.15508410334587097,-0.14532804489135742
MATCH_250K,1293,log_life_lt_4,4.0,12,0.10594198852777481,0.12511610984802246,-0.0762929692864418
MATCH_250K,1293,log_life_lt_5,5.0,119,0.03133028373122215,0.07661029696464539,-0.009317300282418728
MATCH_250K,1293,log_life_lt_6,6.0,258,0.020934240892529488,0.05653238669037819,-0.004668874200433493
MATCH_250K,2221,all,all,679,0.018140388652682304,0.04422226920723915,0.0028972302097827196
MATCH_250K,2221,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,2221,log_life_lt_3,3.0,4,0.08327466249465942,0.09172138571739197,-0.06070202589035034
MATCH_250K,2221,log_life_lt_4,4.0,9,0.17678244411945343,0.2436860352754593,-0.017427444458007812
MATCH_250K,2221,log_life_lt_5,5.0,48,0.055548399686813354,0.1193394735455513,0.004949589725583792
MATCH_250K,2221,log_life_lt_6,6.0,234,0.02337099425494671,0.060510020703077316,0.0051124850288033485
MATCH_250K,3504,all,all,679,0.021674439311027527,0.05825640261173248,-0.0015063886530697346
MATCH_250K,3504,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,3504,log_life_lt_3,3.0,3,0.21191994845867157,0.22716954350471497,-0.21191994845867157
MATCH_250K,3504,log_life_lt_4,4.0,6,0.28057119250297546,0.33244195580482483,-0.10412466526031494
MATCH_250K,3504,log_life_lt_5,5.0,28,0.0957578644156456,0.1650579869747162,-0.047623250633478165
MATCH_250K,3504,log_life_lt_6,6.0,209,0.03998691961169243,0.09731175005435944,-0.009432529099285603
MATCH_250K,3654,all,all,679,0.020591696724295616,0.05499841272830963,0.003806914435699582
MATCH_250K,3654,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,3654,log_life_lt_3,3.0,4,0.3615149259567261,0.3619271218776703,0.3615149259567261
MATCH_250K,3654,log_life_lt_4,4.0,9,0.24513456225395203,0.2740457057952881,0.20983511209487915
MATCH_250K,3654,log_life_lt_5,5.0,47,0.08598989993333817,0.14148008823394775,0.04805688560009003
MATCH_250K,3654,log_life_lt_6,6.0,230,0.03453509137034416,0.08289844542741776,0.011870005168020725
MATCH_250K,4758,all,all,679,0.020130665972828865,0.053180914372205734,0.005508678499609232
MATCH_250K,4758,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,4758,log_life_lt_3,3.0,5,0.3533070981502533,0.3944288492202759,0.3459504544734955
MATCH_250K,4758,log_life_lt_4,4.0,8,0.29809361696243286,0.34006890654563904,0.26871639490127563
MATCH_250K,4758,log_life_lt_5,5.0,28,0.11494191735982895,0.19025495648384094,0.1000867411494255
MATCH_250K,4758,log_life_lt_6,6.0,214,0.02683374099433422,0.07589240372180939,0.014638515189290047
MATCH_250K,3006,all,all,679,0.020578701049089432,0.06384331732988358,-0.000567624403629452
MATCH_250K,3006,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,3006,log_life_lt_3,3.0,4,0.09126609563827515,0.09368934482336044,-0.03745764493942261
MATCH_250K,3006,log_life_lt_4,4.0,12,0.10738734155893326,0.11743483692407608,-0.056029994040727615
MATCH_250K,3006,log_life_lt_5,5.0,116,0.03646135702729225,0.09295112639665604,-0.008332651108503342
MATCH_250K,3006,log_life_lt_6,6.0,264,0.029149102047085762,0.08928041905164719,-0.001754273078404367
MATCH_250K,2093,all,all,679,0.01877751760184765,0.04652797803282738,0.002061984036117792
